German	English	Category	Frequency
der	the	Article	1
und	and	Conjunction	2
in	in	Preposition	3
den	the	Article	4
von	of	Preposition	5
zu	to	Preposition	6
das	the	Article	7
mit	with	Preposition	8
sich	oneself	Reflexive	9
auf	on	Preposition	10
für	for	Preposition	11
ist	is	Verb	12
im	in the	Preposition	13
dem	the	Article	14
nicht	not	Adverb	15
ein	a/an	Article	16
eine	a/an	Article	17
als	as	Conjunction	18
auch	also	Adverb	19
es	it	Pronoun	20
an	at	Preposition	21
werden	will	Verb	22
aus	from	Preposition	23
er	he	Pronoun	24
hat	has	Verb	25
dass	that	Conjunction	26
sie	she/they	Pronoun	27
nach	after	Preposition	28
wird	becomes	Verb	29
bei	at	Preposition	30
einer	one	Article	31
um	around	Preposition	32
am	at the	Preposition	33
des	of the	Article	34
oder	or	Conjunction	35
wie	how	Adverb	36
über	over	Preposition	37
man	one	Pronoun	38
kann	can	Verb	39
nur	only	Adverb	40
noch	still	Adverb	41
mehr	more	Adverb	42
wenn	when	Conjunction	43
aber	but	Conjunction	44
alle	all	Adjective	45
sind	are	Verb	46
aus	out	Preposition	47
wenn	if	Conjunction	48
haben	have	Verb	49
eine	one	Article	50
diese	this	Adjective	51
ihr	her	Adjective	52
war	was	Verb	53
sein	his	Adjective	54
da	there	Adverb	55
zwei	two	Number	56
haben	have	Verb	57
nicht	not	Adverb	58
diese	these	Adjective	59
nach	to	Preposition	60
ihre	their	Adjective	61
wird	will	Verb	62
seine	his	Adjective	63
Markt	market	Noun	64
Zeit	time	Noun	65
Jahr	year	Noun	66
Mensch	person	Noun	67
Tag	day	Noun	68
Welt	world	Noun	69
Leben	life	Noun	70
Hand	hand	Noun	71
Auge	eye	Noun	72
Haus	house	Noun	73
Wort	word	Noun	74
Wasser	water	Noun	75
Feuer	fire	Noun	76
Sonne	sun	Noun	77
Mond	moon	Noun	78
Stern	star	Noun	79
Baum	tree	Noun	80
Blume	flower	Noun	81
Tier	animal	Noun	82
Hund	dog	Noun	83
Katze	cat	Noun	84
Pferd	horse	Noun	85
Vogel	bird	Noun	86
Fisch	fish	Noun	87
Brot	bread	Noun	88
Milch	milk	Noun	89
Käse	cheese	Noun	90
Fleisch	meat	Noun	91
Obst	fruit	Noun	92
Gemüse	vegetable	Noun	93
Apfel	apple	Noun	94
Banane	banana	Noun	95
Orange	orange	Noun	96
Wein	wine	Noun	97
Bier	beer	Noun	98
Kaffee	coffee	Noun	99
Tee	tea	Noun	100
Zucker	sugar	Noun	101
Salz	salt	Noun	102
Pfeffer	pepper	Noun	103
Öl	oil	Noun	104
Butter	butter	Noun	105
Ei	egg	Noun	106
Reis	rice	Noun	107
Nudeln	pasta	Noun	108
Kartoffel	potato	Noun	109
Tomate	tomato	Noun	110
Zwiebel	onion	Noun	111
Knoblauch	garlic	Noun	112
Karotte	carrot	Noun	113
Kopf	head	Noun	114
Gesicht	face	Noun	115
Nase	nose	Noun	116
Mund	mouth	Noun	117
Zahn	tooth	Noun	118
Ohr	ear	Noun	119
Hals	neck	Noun	120
Schulter	shoulder	Noun	121
Arm	arm	Noun	122
Finger	finger	Noun	123
Bein	leg	Noun	124
Fuß	foot	Noun	125
Herz	heart	Noun	126
Lunge	lung	Noun	127
Magen	stomach	Noun	128
Blut	blood	Noun	129
Knochen	bone	Noun	130
Haut	skin	Noun	131
Haar	hair	Noun	132
Bart	beard	Noun	133
Familie	family	Noun	134
Mutter	mother	Noun	135
Vater	father	Noun	136
Sohn	son	Noun	137
Tochter	daughter	Noun	138
Bruder	brother	Noun	139
Schwester	sister	Noun	140
Großmutter	grandmother	Noun	141
Großvater	grandfather	Noun	142
Onkel	uncle	Noun	143
Tante	aunt	Noun	144
Cousin	cousin	Noun	145
Freund	friend	Noun	146
Freundin	girlfriend	Noun	147
Nachbar	neighbor	Noun	148
Arzt	doctor	Noun	149
Lehrer	teacher	Noun	150
Schüler	student	Noun	151
Polizist	policeman	Noun	152
Koch	cook	Noun	153
Fahrer	driver	Noun	154
Arbeiter	worker	Noun	155
Ingenieur	engineer	Noun	156
Künstler	artist	Noun	157
Musiker	musician	Noun	158
Schriftsteller	writer	Noun	159
Schauspieler	actor	Noun	160
Sport	sport	Noun	161
Fußball	football	Noun	162
Tennis	tennis	Noun	163
Schwimmen	swimming	Noun	164
Laufen	running	Noun	165
Radfahren	cycling	Noun	166
Ski	skiing	Noun	167
Eislaufen	ice skating	Noun	168
Tanzen	dancing	Noun	169
Singen	singing	Noun	170
Musik	music	Noun	171
Lied	song	Noun	172
Instrument	instrument	Noun	173
Gitarre	guitar	Noun	174
Klavier	piano	Noun	175
Violine	violin	Noun	176
Trommel	drum	Noun	177
Buch	book	Noun	178
